1,not difficult to predict the coming of a global cold,[],[difficult, cold],negative
2,stevenbeschloss: anyone doubt the cold blooded butcher of moscow sleeps well,[well],[doubt, butcher, cold],negative
3,hariolor: the  corpse  was  no  longer  cold  because  there  never  had  been  any  corpse  for  you  to  mourn  over  in  the  first,[],[cold, mourn],negative
4,the dark gets us,[],[dark],negative
5,mentimoen biden berhasil membuat ue kembali menjadi vassal us dg membangkitkan histeria hantu cold war rusia dan komunisme,[],[cold],negative
6,morayotopsy  naija_pr tarrr,[],[],neutral
7,billkinw: bk: you might feel cold every time the wind blows,[],[cold],negative
8,punk6529: 1  on how short life is,[],[],neutral
9,nattydiosa: where are my chicago guys    it's too cold outside sooo i need a warm hug  https:  t co pphq0pov2m,[warm, hug],[cold],positive
10,punk6529: 1  on how short life is,[],[],neutral
11,punk6529: 1  on how short life is,[],[],neutral
12,d vida cruel entre show do coldplay oh justin bieber,[],[cruel],negative
13,drvolts: mitch mcconnell should not be able to show his anus face in public,[],[],neutral
14,dariuscold what's up cold darius  looking for new doodles  follow  cybertama_ nft and send them a dm with the words  early acess  to claim white list spot and get access to  cyber token ido  🐐 cybertama_ is goated    https:  t co ccctnejppj,[],[cold],negative
15,beaniebabybot: booties the cat,[],[],neutral
16,chigrl: anyone living through the cold war   knows how horrific even the suggestion of this is,[],[horrific, cold],negative
17,they all like  it s cold  i almost said  a hoe don t get cold  😭😭 but also i m going straight to the car and inside because it is cold af,[like],[cold],negative
18,this is the first time in my whole life that i probably caught a cold twice in a year  heck it wasn t even like a month ago that i finally got rid off a cold and now i probably caught one again,[like],[heck, cold],negative
19,kerseycouchsale just wanted you to know you re not alone 🤍 my fianc  has been a weed smoker as well for a very long time,[well],[weed],neutral
20,janhooope:  out_namjooning sometimes i wake up in a cold sweat over this  the dolphin noises in the background haunt my dreams   sobs,[],[haunt, cold, noises],negative
21,it s to cold to be doing anything 😂,[],[cold],negative
22,punk6529: 1  on how short life is,[],[],neutral
23,pleasure74  alxellt0308  justjul87741611  wifeyspice90  momof2in1year  jillaprn  june_heinz  jokertoyhunter  christothew  limmered  lbsamuelsson  klitzingchris  cunningsq16  phalarope  camilee13  misleaderc  ghostofsaucy  suckit_trump drive safe  bundle up,[safe],[],positive
24,henryjkraven we've had long cold spells,[],[cold],negative
25,mckenzieas93v2: triple h saving stone cold steve austin from a attack from a fan is one of the reasons why he's so respected by his pee,[],[attack, cold],negative
26,luftforsvaret: allied integration in air over bardufoss yesterday🇺🇸🇳🇴 the b 52 strategic bombers have participated in several missions,[],[],neutral
27,in his eyes,[],[],neutral
28,punk6529: 1  on how short life is,[],[],neutral
29,mckenzieas93v2: triple h saving stone cold steve austin from a attack from a fan is one of the reasons why he's so respected by his pee,[],[attack, cold],negative
30,lokialoser no one  bar cold cold,[],[cold],negative
